儀式|ceremony, rite, ritual, service
職人|craftsman, artisan, tradesman, worker, workman
南極|South Pole
北極|North Pole
新幹線|Shinkansen, bullet train
昼寝|(afternoon) nap, sleeping during the day, siesta
大通り|main street, avenue, boulevard
木材|lumber, timber, wood
運河|(navigable) canal, waterway
遊園地|amusement park
天皇|Emperor of Japan
蛇口|faucet, tap
溶岩|lava
武士|samurai, warrior
名字|surname, family name, last name
面接|interview (e.g. for a job)
資料|material, materials, data, information, documents
解放|release, unleashing, liberation, emancipation, setting free
群れ|group, crowd, flock, herd, bevy, school, swarm, cluster (e.g. of stars), clump, pack (e.g. of dogs)
望遠鏡|telescope
唇|lip, lips
温泉|hot spring
書店|bookshop, bookstore
液体|liquid
通勤|commuting to work
広場|public square, square, plaza, piazza, forum
演劇|drama, theatre, theater, play
井戸|water well
煙突|chimney, smokestack, funnel (of a ship), stovepipe
過失|accident (caused by negligence), error, blunder
垣根|hedge, fence
果実|fruit, nut, berry
皮膚|skin
電池|battery, cell
矛盾|contradiction, inconsistency
通訳|interpretation (i.e. oral translation)
乾杯|cheers, bottoms-up, prosit
通貨|currency
花火|fireworks
車庫|garage, carport, depot (for trains, buses, etc.), carbarn
中世|Middle Ages (in Japan esp. the Kamakura and Muromachi periods), medieval times, mediaeval times
火山|volcano
虹|rainbow
相撲|sumo (wrestling)
観念|idea, notion, concept, conception
回転|rotation, revolution, turn, spin
競馬|horse racing
枕|pillow, bolster
吹雪|snow storm, blizzard
水素|hydrogen (H)
基礎|foundation, basis
停電|power outage, electricity outage, blackout, failure of electricity supply
毛皮|fur, skin, pelt
鐘|bell (often a large hanging bell), chime
公害|pollution, public nuisance, contamination
灰色|grey, gray, ashen
政党|political party
足跡|footprints
公共|public (facilities, service, etc.), communal
公式|official, formal
牧場|farm (livestock), stock farm, ranch, station
百科事典|encyclopedia, encyclopaedia
名所|famous place, noted place, place of (scenic or historical) interest, sights (to see)
強化|strengthening, intensifying, reinforcement, enhancement, solidification
血液|blood
車輪|(vehicle) wheel
死体|dead body, corpse, cadaver, carcass
蒸気|steam, vapour, vapor
姿勢|posture, pose, position, stance, carriage (of the body)
文体|literary style
薬局|"pharmacy, drugstore, chemist's (shop)"
消化|digestion (of food)
磁石|magnet
神話|myth, legend
看板|signboard, sign, billboard, hoarding, doorplate
大工|carpenter
森林|forest, woods
乗り換え|transfer (trains, buses, etc.), change, connection
電力|electric power
家屋|house, building
東洋|the East, the Orient, (East) Asia
顕微鏡|microscope
方言|dialect, provincialism
酢|vinegar
滝|waterfall
面積|area (measurement), square measure, size (of land), floor space
寮|hostel, dormitory
撮影|photography (still or motion), photographing, filming, shooting, (video) recording
給与|pay, salary, wages
血圧|blood pressure
将棋|shogi, Japanese chess
継続|continuation, continuance, going on
直線|straight line
伝記|biography, life story
刺身|sashimi (raw sliced fish, shellfish or crustaceans)
国籍|nationality, citizenship
無限|infinity, infinitude, eternity
反省|reflection, reconsideration, introspection, meditation, contemplation
診断|diagnosis, medical examination
明け方|dawn, daybreak
銅|copper (Cu)
包装|packing, wrapping
手首|wrist
彫刻|carving, engraving, sculpture
倉庫|storehouse, warehouse, godown
香水|perfume, scent
姓|surname, family name
噴火|eruption, volcanic eruption
統一|unity, consolidation, uniformity, unification, compatible
商社|trading company
先祖|ancestor, forefather, foremother
手前|before oneself, in front of one, nearby
記号|symbol, code, sign, notation
分布|distribution
行列|line, queue, procession, parade
深夜|late at night
太鼓|drum
煮る|to boil, to simmer, to stew, to seethe
和服|Japanese clothes
引き分け|draw (in competition), tie game
包丁|kitchen knife, carving knife
竹|bamboo (any grass of subfamily Bambusoideae)
表紙|cover (of a book, magazine, etc.), binding
電柱|utility pole, power pole, telephone pole, telegraph pole
学年|academic year, school year
園芸|horticulture, gardening
温室|greenhouse, hothouse, conservatory, glasshouse
原理|principle, theory, fundamental truth
算数|arithmetic
農産物|agricultural produce
平日|weekday, ordinary days (i.e. non-holiday)
古典|classic (work, esp. book), the classics
通路|passage, pathway, roadway, avenue, aisle
編集|editing, compilation
集合|meeting up, gathering, assembly
光線|beam, light ray
電球|light bulb
測定|measurement
宴会|party, banquet, reception, feast, dinner
中年|"middle-age, middle age, midlife, one's middle years"
体操|gymnastics, physical exercises
親指|thumb
淡水|fresh water (i.e. not salt water)
湿度|level of humidity
垂直|vertical
税関|customs, customs house
餅|mochi, (sticky) rice cake
水平|horizontal, level, even
自然科学|natural science
確率|probability, likelihood, chances
