程|extent, degree, measure
正直|honest, frank, candid, straightforward
一致|agreement, accord, correspondence, consistency, coincidence
博物館|museum
皿|plate, dish, platter, disc
舞台|stage (of a theatre, concert hall, etc.), (stage) performance
寄付|contribution, donation
猿|monkey (esp. the Japanese macaque, Macaca fuscata), ape, non-human primate
平等|equality, impartiality, evenness
金属|metal
左右|left and right, right and left
商人|merchant, trader, tradesman, dealer, shopkeeper
国境|border (between countries), national border
集団|group, mass
根|root (of a plant)
鎖|chain, chains
時|time, hour, moment
元|origin, source, beginning
計画|plan, project, schedule, scheme, program, programme
少年|boy
列車|train, railway train
健康|health
人間|human being, human, person, man, mankind, humankind
結果|result, consequence, outcome, effect
理解|understanding, comprehension, appreciation
少女|girl (usu. between 7 and 17), young lady
事実|fact, truth, reality
食事|meal, dinner
人生|"(one's) life"
母親|mother
行動|action, conduct, behaviour, behavior, mobilization, mobilisation
父親|father
太陽|Sun
幸福|happiness, well-being, joy, welfare, blessedness
政府|government, administration, ministry
経験|experience
責任|duty, responsibility (incl. supervision of staff)
我慢|endurance, patience, perseverance, bearing (with something)
噂|rumour, rumor, report, hearsay, gossip, common talk
道路|road, highway
機械|machine, mechanism
地球|Earth, the globe
秘密|secret, secrecy, confidentiality, privacy
偶然|coincidence, chance, accident, fortuity
情報|information, news, report, intelligence
現在|the present, present time, now
昼食|lunch, midday meal
期待|expectation, anticipation, hope
丘|hill, height, knoll, rising ground
嵐|storm, tempest
運動|exercise, physical training, workout, sports, athletics
大統領|president (of a nation)
演説|speech, address
神|god, deity, divinity, spirit, kami
馬|horse
読書|reading (a book)
詩|poem, poetry, verse
知識|knowledge, information
都市|town, city, municipal, urban
収入|income, earnings, revenue, proceeds, takings, receipts
嘘|lie, fib, falsehood, untruth
詩人|poet
涙|tear, tears, lachrymal secretion
円|yen (Japanese monetary unit)
酒|alcohol, sake
財産|property, fortune, assets
発見|discovery, detection, finding
勇気|courage, bravery, valour, valor, nerve, boldness
患者|patient
学者|scholar, academic, scientist
解決|settlement, solution, resolution
存在|existence, being, presence
言語|language
信頼|trust (in), confidence, faith, reliance
作家|author, writer, novelist, artist
海外|foreign, abroad, overseas
平和|peace, harmony
希望|hope, wish, aspiration
調査|investigation, examination, inquiry, enquiry, survey
地域|area, region, district, locality
気候|climate
愛|love, affection, care
実験|experiment, experimentation
権利|right, privilege
国民|people (of a country), nation, citizen, national
騒音|noise, din
義務|duty, obligation, responsibility
釣り|fishing, angling
胸|chest, breast
過去|the past, bygone days
物価|prices of commodities, prices (in general), cost-of-living
利益|profit, gains
発明|invention
教授|professor
植物|plant, vegetation
氷|ice
石油|oil, petroleum
痛み|pain, ache, soreness, grief, distress
進歩|progress, advance, improvement, development
物語|story, tale, narrative, account, fable, legend
感情|emotion, feeling, feelings, sentiment
週|week
屋根|roof
議長|chair, chairman, chairperson, speaker (of an assembly), president (of a council, senate, etc.)
恐怖|fear, dread, dismay, terror, horror, scare, panic
否定|denial, negation, repudiation, disavowal
商品|commodity, article of commerce, goods, stock, merchandise
費用|cost, expense
作品|work (e.g. book, film, painting, composition), piece, production, opus
賞|prize, award
城|castle
留学|studying abroad
価格|price, value, cost
犯罪|crime, offence, offense
肩|shoulder
意志|will, volition, intention, intent, determination
評価|valuation, appraisal, evaluation, assessment, estimation, rating, judging
正午|noon, midday
職業|occupation, profession, job, vocation, trade, calling, business
家具|furniture
劇場|theatre, theater, playhouse
首相|prime minister, chancellor (Germany, Austria, etc.), premier
不安|anxiety, uneasiness, worry, apprehension, fear, insecurity, suspense
自然|nature
自殺|suicide
意識|consciousness
逮捕|arrest, apprehension, capture
爆発|explosion, detonation, blast, blowing up, eruption
論文|thesis, essay, treatise, paper, article
記録|record, minutes, document
頭痛|headache
世紀|century
契約|contract, compact, agreement
牛|cattle (Bos taurus), cow, bull, ox, calf
精神|mind, spirit, soul, heart, ethos
記憶|memory, recollection, remembrance
優勝|overall victory, championship, winning the title
俳優|actor, actress, player, performer
独立|"independence, self-reliance, supporting oneself, being on one's own"
額|(picture) frame, framed picture
州|state (of the US, Australia, India, Germany, etc.), province (e.g. of Canada), county (e.g. of the UK), region (e.g. of Italy), canton, oblast
公平|fairness, impartiality, justice, objectivity
強盗|robber, mugger
生命|life, existence
霧|fog, mist
記事|article, news story, report, account
命令|order, command, decree, directive
輸入|import, importation, introduction
銃|gun, rifle, small arms
計算|calculation, reckoning, count
医師|doctor, physician
宇宙|universe, cosmos, space
合図|sign, signal, cue
禁煙|abstaining from smoking, quitting smoking
友情|friendship, fellowship, camaraderie
現実|reality, actuality, hard fact
握手|handshake
訓練|training, drill, practice, discipline
攻撃|attack, assault, raid, onslaught, offensive
生物|living thing, organism, creature, life
香り|aroma, fragrance, scent, smell
企業|enterprise, business, company, corporation
方向|direction, orientation, bearing, way
羽|feather, plume, down
役割|part, assigning (allotment of) parts, role, duties
流れ|flow (of a fluid or gas), stream, current
宗教|religion, religious affiliation, belief, faith, creed
芸術|art, the arts
服装|attire, dress, clothes, clothing, costume, garb
広告|advertisement, advertising
個人|individual, private person, personal, private
署名|signature
無料|free (of charge), gratuitous
駐車|parking (a vehicle)
王様|king
証明|proof, testimony, demonstration, verification, certification
現金|cash, ready money, money on hand, currency
宝石|gem, jewel, precious stone
塔|tower, steeple, spire
出版|publication
話題|topic, subject
芝居|play, drama
博士|expert, learned person
保証|guarantee, security, assurance, pledge
競技|game, match, contest
軍隊|armed forces, military, troops
投票|voting, ballot, poll, vote
離婚|divorce
診察|medical examination, checkup, consultation
年寄り|old person, elderly person, senior citizen
心臓|heart
販売|sales, selling, marketing
影|shadow, silhouette, figure, shape
衝突|collision, crash, impact, running into
輸出|export, exportation
平均|average, mean
型|type, style, model, pattern
冒険|adventure, venture
永遠|eternity, perpetuity, permanence, immortality
表情|facial expression, countenance
未来|(distant) future
小屋|hut, cabin, shed, (animal) pen
青年|youth, young man
胃|stomach
畑|field (for growing wheat, fruit, vegetables, etc.), cultivated land, vegetable plot, kitchen garden, plantation
通学|commuting to school, school commute
虎|tiger (Panthera tigris)
改善|betterment, improvement
鉄道|railroad, railway, rail transport
信号|signal, signalling, signaling
雷|lightning, thunder, thunderbolt
中心|center, centre, middle, heart, core, focus, pivot, emphasis, balance
籠|basket (shopping, etc.), hamper, cage
文字|letter (of alphabet), character
放送|broadcasting, broadcast, program, announcement
収穫|harvest, crop, ingathering
観客|spectator, audience
建設|construction, establishment
袋|bag, sack, pouch
睡眠|sleep
節約|economising, saving
毒|poison, toxicant
油|oil
教科書|textbook, coursebook, schoolbook
座席|seat
常識|common sense, good sense, common knowledge, general knowledge, common practice, accepted practice, social etiquette
単位|unit, denomination
郵便|mail service, postal service, mail, post
運|fortune, luck, chance
誕生|birth, creation, formation
労働|manual labor, manual labour, toil, work
家事|housework, domestic chores
観光|sightseeing, tourism
学習|study, learning, tutorial
汗|sweat, perspiration
失業|unemployment
食欲|appetite (for food)
数字|numeral, figure, digit, numeric character
婚約|engagement, betrothal
毛布|blanket
分析|analysis
武器|weapon, arms, ordnance
鉄|iron (Fe)
書斎|study, library, den, home office, reading room
首都|capital (city), metropolis
引用|quotation, citation, reference
砂漠|desert
笑い|laugh, laughter
硬貨|coin
舌|tongue
異常|strangeness, abnormality, disorder
針|needle, pin
位置|place, position, location
監督|supervision, control, superintendence, direction
酸素|oxygen (O)
穀物|grain, cereal, corn
拍手|clapping hands, applause
予算|estimate (of costs), budget
瞬間|moment, second, instant
絶滅|extinction, extermination
対象|target, object (of worship, study, etc.), subject (of taxation, etc.)
速度|speed, velocity, pace, rate
腰|lower back, waist, hips, lumbar region
祭|festival, feast, matsuri
物質|material, substance
奨学金|scholarship, stipend, bursary
谷|valley
黒板|blackboard
泥|mud, slush, (wet) dirt, mire
農業|agriculture
批評|criticism, critique, review, commentary
議会|congress, parliament, diet, legislative assembly
安定|stability, steadiness, consistency, equilibrium, balance, composure
独身|single, unmarried
巣|nest, rookery, breeding place, hive
石炭|coal
農家|farmer, farming family
建築|construction, architecture (of buildings)
大陸|continent
日付|date, dating
活用|practical use, application, making good use of, putting to good use, capitalizing on
吸収|absorption, suction, attraction
体温|body temperature
文明|civilization, civilisation, culture
