周り|circumference, girth
腕|arm
人形|doll, puppet, marionette
文化|culture, civilization, civilisation
海岸|coast, beach
産業|industry
動物園|zoo, zoological gardens
美術館|art museum, art gallery
飛行場|airfield, airport
水道|water supply, water service, waterworks, tap water
葡萄|grape, grapevine
事故|accident, incident, trouble
息子|son
生活|life, living
注意|attention, notice, heed
女性|woman, female
生きる|to live, to exist
船|ship, boat, watercraft, vessel, seaplane
説明|explanation, exposition, description, account, caption, legend
警察|police
危険|danger, peril, hazard
世界|the world, society, the universe
戦争|war
小説|novel, story, (work of) fiction
関係|relation, relationship, connection
研究|study, research, investigation
会議|meeting, conference, session, assembly, council, convention, congress
音|sound, noise
普通|normal, ordinary, regular, usual, common, average
湖|lake
夢|dream
空港|airport
数学|mathematics
教育|education, schooling, training, instruction, teaching, upbringing
赤ちゃん|baby, infant
火|fire, flame, blaze
自由|freedom, liberty
森|forest
法律|law
気分|feeling, mood
壁|wall, partition
田舎|rural area, countryside, the sticks
気|spirit, mind, heart
男性|man, male
地震|earthquake
人口|population
故障|fault, trouble, breakdown, failure, being out of order
残念|regrettable, unfortunate, disappointing, vexing
島|island
教会|church, congregation
歴史|history
住所|address, residence, domicile
社会|society, public, community, the world
工場|factory, plant, mill, workshop
趣味|hobby, pastime
経済|economy, economics
台風|typhoon, hurricane
卒業|graduation, completion (of a course)
雲|cloud
光|light
科学|science
贈り物|present, gift
政治|politics, government
特別|special, particular, extraordinary, exceptional, especial
水泳|swimming
講義|lecture
指|finger, toe, digit
生産|production, manufacture
会話|conversation, talk, chat
玩具|toy
季節|season, time of year
翻訳|translation
貿易|(foreign) trade, (international) commerce, importing and exporting
文学|literature
葉|leaf, blade (of grass), (pine) needle
交通|traffic, transportation, communication, exchange (of ideas, etc.), intercourse
遊び|play, playing, game
道具|tool, implement, instrument, utensil, apparatus, device
入学|admission (to a school or university), entrance, enrolment, enrollment, matriculation
背中|back (of the body)
発音|pronunciation
指輪|(finger) ring
医学|medical science, medicine
漫画|cartoon, comic, comic strip, manga
鏡|mirror, looking-glass
電報|telegram
校長|principal, head teacher, headmaster, headmistress
郊外|suburb, residential area on the outskirt of a city, commuter belt
市民|citizen, citizenry, public
国際|international
砂|sand, grit
手袋|glove, mitten, mitt
日記|diary, journal
絹|silk
文法|grammar
糸|thread, yarn, string
神社|Shinto shrine
小学校|primary school, elementary school, grade school
駐車場|parking lot, car park, carpark, parking garage
西洋|the West, the Occident, Western countries
先輩|senior (at work or school), superior, elder, older graduate, progenitor, old-timer
坂|slope, incline, hill
注射|injection, jab, shot
乗り物|vehicle, conveyance, transport
旅館|ryokan, traditional Japanese inn
林|wood, woods, forest, grove, copse, thicket
